date	n_cases	n_deaths
2020-02-24	1	0
2020-02-25	1	0
2020-02-26	10	0
2020-02-27	10	0
2020-02-28	10	0
2020-02-29	13	0
2020-03-01	11	0
2020-03-02	31	0
2020-03-03	33	0
2020-03-04	61	0
2020-03-05	62	2
2020-03-06	73	0
2020-03-07	49	0
2020-03-08	69	1
2020-03-09	192	0
2020-03-10	212	2
2020-03-11	334	3
2020-03-12	357	4
2020-03-13	433	3
2020-03-14	420	5
2020-03-15	328	8
2020-03-16	1064	7
2020-03-17	1088	12
2020-03-18	1214	8
2020-03-19	836	14
2020-03-20	1147	21
2020-03-21	693	19
2020-03-22	547	18
2020-03-23	1464	23
2020-03-24	1244	19
2020-03-25	1072	39
2020-03-26	1118	38
2020-03-27	1308	31
2020-03-28	723	57
2020-03-29	433	45
2020-03-30	1310	58
2020-03-31	1137	44
2020-04-01	1016	57
2020-04-02	878	60
2020-04-03	928	54
2020-04-04	486	55
2020-04-05	281	50
2020-04-06	925	50
2020-04-07	715	53
2020-04-08	613	57
2020-04-09	559	44
2020-04-10	309	50
2020-04-11	262	44
2020-04-12	219	35
2020-04-13	245	35
2020-04-14	425	37
2020-04-15	328	37
2020-04-16	321	38
2020-04-17	291	36
2020-04-18	144	31
2020-04-19	86	21
2020-04-20	277	37
2020-04-21	213	33
2020-04-22	156	26
2020-04-23	208	29
2020-04-24	167	24
2020-04-25	87	24
2020-04-26	61	13
2020-04-27	173	23
2020-04-28	153	11
2020-04-29	120	10
2020-04-30	101	13
2020-05-01	83	12
2020-05-02	47	9
2020-05-03	23	8
2020-05-04	90	9
2020-05-05	73	8
2020-05-06	80	4
2020-05-07	46	11
2020-05-08	59	7
2020-05-09	39	5
2020-05-10	16	7
2020-05-11	46	3
2020-05-12	42	1
2020-05-13	37	1
2020-05-14	37	2
2020-05-15	41	5
2020-05-16	15	1
2020-05-17	12	4
2020-05-18	34	3
2020-05-19	36	4
2020-05-20	29	0
2020-05-21	11	5
2020-05-22	19	1
2020-05-23	14	1
2020-05-24	10	0
2020-05-25	15	2
2020-05-26	18	2
2020-05-27	25	0
2020-05-28	30	0
2020-05-29	21	0
2020-05-30	10	0
2020-05-31	7	0
2020-06-01	3	0
2020-06-02	22	0
2020-06-03	23	0
2020-06-04	17	0
2020-06-05	15	0
2020-06-06	10	1
2020-06-07	8	0
2020-06-08	25	1
2020-06-09	11	0
2020-06-10	24	1
2020-06-11	25	0
2020-06-12	34	0
2020-06-13	9	1
2020-06-14	12	0
2020-06-15	32	0
2020-06-16	21	1
2020-06-17	18	0
2020-06-18	18	0
2020-06-19	37	0
2020-06-20	32	0
2020-06-21	13	1
2020-06-22	56	1
2020-06-23	37	0
2020-06-24	64	0
2020-06-25	48	0
2020-06-26	92	0
2020-06-27	36	0
2020-06-28	22	0
2020-06-29	158	1
2020-06-30	136	0
2020-07-01	102	1
2020-07-02	127	0
2020-07-03	96	0
2020-07-04	26	0
2020-07-05	37	0
2020-07-06	105	0
2020-07-07	107	0
2020-07-08	96	2
2020-07-09	97	0
2020-07-10	111	0
2020-07-11	70	0
2020-07-12	46	0
2020-07-13	120	1
2020-07-14	128	0
2020-07-15	120	1
2020-07-16	106	1
2020-07-17	115	1
2020-07-18	80	0
2020-07-19	41	0
2020-07-20	127	2
2020-07-21	138	1
2020-07-22	117	0
2020-07-23	143	0
2020-07-24	148	1
2020-07-25	95	1
2020-07-26	57	0
2020-07-27	193	1
2020-07-28	188	1
2020-07-29	220	0
2020-07-30	211	0
2020-07-31	163	2
2020-08-01	96	1
2020-08-02	80	0
2020-08-03	196	0
2020-08-04	181	1
2020-08-05	152	1
2020-08-06	156	1
2020-08-07	183	1
2020-08-08	130	1
2020-08-09	99	0
2020-08-10	281	1
2020-08-11	255	0
2020-08-12	246	0
2020-08-13	271	1
2020-08-14	234	0
2020-08-15	149	3
2020-08-16	139	0
2020-08-17	286	1
2020-08-18	296	0
2020-08-19	283	0
2020-08-20	350	0
2020-08-21	314	1
2020-08-22	192	1
2020-08-23	136	2
2020-08-24	306	1
2020-08-25	338	0
2020-08-26	361	0
2020-08-27	352	2
2020-08-28	374	0
2020-08-29	214	0
2020-08-30	144	1
2020-08-31	346	1
2020-09-01	364	1
2020-09-02	414	3
2020-09-03	436	1
2020-09-04	424	0
2020-09-05	293	1
2020-09-06	169	2
2020-09-07	465	1
2020-09-08	384	1
2020-09-09	447	3
2020-09-10	485	0
